Timestamp,Year,Month,Day,Hour,PM2.5
03-04-2019 10:00,2019,4,3,10,38.59
03-04-2019 11:00,2019,4,3,11,38.52
03-04-2019 12:00,2019,4,3,12,39.18
03-04-2019 13:00,2019,4,3,13,39.54
03-04-2019 14:00,2019,4,3,14,39.02
03-04-2019 15:00,2019,4,3,15,38.91
03-04-2019 16:00,2019,4,3,16,43.66
03-04-2019 17:00,2019,4,3,17,54.35
03-04-2019 18:00,2019,4,3,18,54.35
03-04-2019 19:00,2019,4,3,19,59.13
03-04-2019 20:00,2019,4,3,20,60.03
03-04-2019 21:00,2019,4,3,21,59.04
03-04-2019 22:00,2019,4,3,22,60.86
03-04-2019 23:00,2019,4,3,23,62.22
04-04-2019 00:00,2019,4,4,0,62.12
04-04-2019 01:00,2019,4,4,1,58.92
04-04-2019 02:00,2019,4,4,2,64.4
04-04-2019 03:00,2019,4,4,3,60.8
04-04-2019 04:00,2019,4,4,4,56.73
04-04-2019 05:00,2019,4,4,5,64.1
04-04-2019 06:00,2019,4,4,6,61.07
04-04-2019 07:00,2019,4,4,7,55.5
04-04-2019 08:00,2019,4,4,8,55.19
04-04-2019 09:00,2019,4,4,9,49.66
04-04-2019 10:00,2019,4,4,10,42.03
04-04-2019 11:00,2019,4,4,11,37.49
04-04-2019 12:00,2019,4,4,12,36.63
04-04-2019 13:00,2019,4,4,13,37.27
04-04-2019 14:00,2019,4,4,14,36.19
04-04-2019 15:00,2019,4,4,15,65.85
04-04-2019 19:00,2019,4,4,19,41.66
04-04-2019 20:00,2019,4,4,20,53.66
04-04-2019 21:00,2019,4,4,21,53.82
04-04-2019 22:00,2019,4,4,22,49.52
04-04-2019 23:00,2019,4,4,23,49.49
05-04-2019 00:00,2019,4,5,0,47.66
05-04-2019 01:00,2019,4,5,1,47.72
05-04-2019 02:00,2019,4,5,2,48.37
05-04-2019 03:00,2019,4,5,3,53.8
05-04-2019 04:00,2019,4,5,4,53.72
05-04-2019 05:00,2019,4,5,5,55.93
05-04-2019 06:00,2019,4,5,6,54.29
05-04-2019 07:00,2019,4,5,7,55.26
05-04-2019 08:00,2019,4,5,8,53.51
05-04-2019 09:00,2019,4,5,9,51.88
05-04-2019 10:00,2019,4,5,10,51.14
05-04-2019 11:00,2019,4,5,11,50.77
05-04-2019 12:00,2019,4,5,12,39.04
